Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL5821865,,None,519.58,2,5.1,BDBM306786,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(OCCNCCCF)cc2F)N1CC1(CF)COC1,IC50,'=',2.4,nM,8.62,,588353,UO_0000065,16.59,0.32,3.52,17.41,0,CHEMBL5731781,ERalpha Binding Assay: Compounds were dosed directly from a compound source microplate containing serially diluted compound (4 wells containing 10 mM,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL6030138,,None,521.6,2,5.22,BDBM306734,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(OCC(CO)NCCCF)cc2F)N1CC(C)(C)F,IC50,'=',1.8,nM,8.74,,588249,UO_0000065,16.77,0.32,3.52,14.45,0,CHEMBL5731781,ERalpha Binding Assay: Compounds were dosed directly from a compound source microplate containing serially diluted compound (4 wells containing 10 mM,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL5439583,,None,475.56,1,5.11,BDBM306757,COc1cc(OCCNCCCF)ccc1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)F,IC50,'=',0.15,nM,9.82,,588296,UO_0000065,20.66,0.39,4.71,19.84,0,CHEMBL5731782,MCF-7 ER Down-Regulation Assay: The ability of compounds to down-regulate Estrogen Receptor (ER) numbers was assessed in a cell based immuno-fluorescence assay using the MCF-7 human ductal carcinoma breast cell line.,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL5725966,37,BindingDB Patent Bioactivity Data,,2018,None,,,,0.15
CHEMBL3805921,,None,489.64,1,6.76,6; RC6,CCCCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,IC50,'=',61,nM,7.21,,,UO_0000065,14.73,0.28,0.45,9.16,0,CHEMBL3807011,Displacement of Fluormone ES2 from human recombinant full length untagged-ERalpha by fluorescence polarization competition binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3804822,1,Scientific Literature,Bioorg Med Chem,2016,None,,,,61
CHEMBL3657137,,None,470.61,1,6.24,BDBM129619,COc1ccc2c(c1)c(C)c(-c1ccc(O)cc1)n2Cc1ccc(OCCN2CCCCC2)cc1,IC50,'=',350,nM,6.46,,261333,UO_0000065,13.72,0.25,0.22,13.78,0,CHEMBL3705466,Binding Assay: The competition assay was performed in a 96-well plate (polystyrene*) which binds <2.0% of the total input [3H]-17beta-estradiol and each data point was gathered in triplicate. 100 uG/100 uL of the receptor preparation was aliquoted per well. A saturating dose of 2.5 nM [3H]17beta-estradiol+competitor (or buffer) in a 50 uL volume was added in the preliminary competition when 100x and 500x competitor were evaluated,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3657139,,None,484.64,1,6.55,BDBM129621,COc1ccc(-c2c(C)c3cc(OC)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',600,nM,6.22,,261335,UO_0000065,12.84,0.24,-0.33,17.35,0,CHEMBL3705466,Binding Assay: The competition assay was performed in a 96-well plate (polystyrene*) which binds <2.0% of the total input [3H]-17beta-estradiol and each data point was gathered in triplicate. 100 uG/100 uL of the receptor preparation was aliquoted per well. A saturating dose of 2.5 nM [3H]17beta-estradiol+competitor (or buffer) in a 50 uL volume was added in the preliminary competition when 100x and 500x competitor were evaluated,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3657141,,None,484.64,1,6.63,BDBM129623,CCOc1ccc(-c2c(C)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',62,nM,7.21,,261337,UO_0000065,14.87,0.27,0.58,15.38,0,CHEMBL3705466,Binding Assay: The competition assay was performed in a 96-well plate (polystyrene*) which binds <2.0% of the total input [3H]-17beta-estradiol and each data point was gathered in triplicate. 100 uG/100 uL of the receptor preparation was aliquoted per well. A saturating dose of 2.5 nM [3H]17beta-estradiol+competitor (or buffer) in a 50 uL volume was added in the preliminary competition when 100x and 500x competitor were evaluated,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3657146,,None,500.68,2,7.36,BDBM129628,CCCCN(CCCC)CCOc1ccc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)cc1,IC50,'=',200,nM,6.7,,261346,UO_0000065,13.38,0.25,-0.66,11.58,0,CHEMBL3705466,Binding Assay: The competition assay was performed in a 96-well plate (polystyrene*) which binds <2.0% of the total input [3H]-17beta-estradiol and each data point was gathered in triplicate. 100 uG/100 uL of the receptor preparation was aliquoted per well. A saturating dose of 2.5 nM [3H]17beta-estradiol+competitor (or buffer) in a 50 uL volume was added in the preliminary competition when 100x and 500x competitor were evaluated,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3657166,,None,462.98,1,5.9,BDBM129649,Oc1ccc(-c2c(Cl)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCC3)cc2)cc1,IC50,'=',4,nM,8.4,,261372,UO_0000065,18.14,0.35,2.5,14.51,0,CHEMBL3705466,Binding Assay: The competition assay was performed in a 96-well plate (polystyrene*) which binds <2.0% of the total input [3H]-17beta-estradiol and each data point was gathered in triplicate. 100 uG/100 uL of the receptor preparation was aliquoted per well. A saturating dose of 2.5 nM [3H]17beta-estradiol+competitor (or buffer) in a 50 uL volume was added in the preliminary competition when 100x and 500x competitor were evaluated,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3657168,,None,491.03,1,6.68,BDBM129651,Oc1ccc(-c2c(Cl)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCCC3)cc2)cc1,IC50,'=',29,nM,7.54,,261374,UO_0000065,15.35,0.29,0.86,13.03,0,CHEMBL3705466,Binding Assay: The competition assay was performed in a 96-well plate (polystyrene*) which binds <2.0% of the total input [3H]-17beta-estradiol and each data point was gathered in triplicate. 100 uG/100 uL of the receptor preparation was aliquoted per well. A saturating dose of 2.5 nM [3H]17beta-estradiol+competitor (or buffer) in a 50 uL volume was added in the preliminary competition when 100x and 500x competitor were evaluated,,,,,,,,,,,,,,,,,,,,,,,,,
